Area code,Area,Year,Series,System of trade,Value,Source
15,Northern Africa,2015,Balance imports/exports (millions of US dollars),,-96714,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2020,Balance imports/exports (millions of US dollars),,-82622,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2021,Balance imports/exports (millions of US dollars),,-52494,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2022,Balance imports/exports (millions of US dollars),,-32346,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,1995,Imports CIF (millions of US dollars),,69290,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2005,Imports CIF (millions of US dollars),,158657,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2010,Imports CIF (millions of US dollars),,287288,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2015,Imports CIF (millions of US dollars),,341970,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2020,Imports CIF (millions of US dollars),,313167,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2021,Imports CIF (millions of US dollars),,376814,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2022,Imports CIF (millions of US dollars),,522897,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,1995,Exports FOB (millions of US dollars),,70417,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2005,Exports FOB (millions of US dollars),,192552,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2010,Exports FOB (millions of US dollars),,331050,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2015,Exports FOB (millions of US dollars),,294142,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2020,Exports FOB (millions of US dollars),,286217,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2021,Exports FOB (millions of US dollars),,382764,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2022,Exports FOB (millions of US dollars),,446541,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,1995,Balance imports/exports (millions of US dollars),,1127,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2005,Balance imports/exports (millions of US dollars),,33895,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2010,Balance imports/exports (millions of US dollars),,43762,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2015,Balance imports/exports (millions of US dollars),,-47827,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2020,Balance imports/exports (millions of US dollars),,-26950,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2021,Balance imports/exports (millions of US dollars),,5950,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2022,Balance imports/exports (millions of US dollars),,-76356,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,1995,Imports CIF (millions of US dollars),,17980,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2005,Imports CIF (millions of US dollars),,31243,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2010,Imports CIF (millions of US dollars),,62688,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2015,Imports CIF (millions of US dollars),,94477,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2020,Imports CIF (millions of US dollars),,85420,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2021,Imports CIF (millions of US dollars),,103352,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2022,Imports CIF (millions of US dollars),,209241,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,1995,Exports FOB (millions of US dollars),,9499,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2005,Exports FOB (millions of US dollars),,16297,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2010,Exports FOB (millions of US dollars),,31652,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2015,Exports FOB (millions of US dollars),,40742,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2020,Exports FOB (millions of US dollars),,44652,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2021,Exports FOB (millions of US dollars),,53123,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2022,Exports FOB (millions of US dollars),,72150,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,1995,Balance imports/exports (millions of US dollars),,-8481,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2005,Balance imports/exports (millions of US dollars),,-14945,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2010,Balance imports/exports (millions of US dollars),,-31036,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2015,Balance imports/exports (millions of US dollars),,-53735,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2020,Balance imports/exports (millions of US dollars),,-40768,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2021,Balance imports/exports (millions of US dollars),,-50229,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2022,Balance imports/exports (millions of US dollars),,-137091,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,1995,Imports CIF (millions of US dollars),,5412,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2005,Imports CIF (millions of US dollars),,18680,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2010,Imports CIF (millions of US dollars),,43623,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2015,Imports CIF (millions of US dollars),,56081,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2020,Imports CIF (millions of US dollars),,28787,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2021,Imports CIF (millions of US dollars),,33961,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2022,Imports CIF (millions of US dollars),,45038,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,1995,Exports FOB (millions of US dollars),,10954,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2005,Exports FOB (millions of US dollars),,48958,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2010,Exports FOB (millions of US dollars),,90717,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2015,Exports FOB (millions of US dollars),,70653,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2020,Exports FOB (millions of US dollars),,53085,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2021,Exports FOB (millions of US dollars),,77616,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2022,Exports FOB (millions of US dollars),,116102,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,1995,Balance imports/exports (millions of US dollars),,5542,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2005,Balance imports/exports (millions of US dollars),,30278,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2010,Balance imports/exports (millions of US dollars),,47094,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2015,Balance imports/exports (millions of US dollars),,14572,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2020,Balance imports/exports (millions of US dollars),,24298,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2021,Balance imports/exports (millions of US dollars),,43655,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
17,Middle Africa,2022,Balance imports/exports (millions of US dollars),,71064,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,1995,Imports CIF (millions of US dollars),,26745,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2005,Imports CIF (millions of US dollars),,63786,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2010,Imports CIF (millions of US dollars),,97723,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2015,Imports CIF (millions of US dollars),,104174,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2020,Imports CIF (millions of US dollars),,85161,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2021,Imports CIF (millions of US dollars),,116682,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2022,Imports CIF (millions of US dollars),,131742,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,1995,Exports FOB (millions of US dollars),,28214,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2005,Exports FOB (millions of US dollars),,56076,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2010,Exports FOB (millions of US dollars),,95232,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2015,Exports FOB (millions of US dollars),,93647,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2020,Exports FOB (millions of US dollars),,97704,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2021,Exports FOB (millions of US dollars),,139076,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2022,Exports FOB (millions of US dollars),,139876,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,1995,Balance imports/exports (millions of US dollars),,1470,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2005,Balance imports/exports (millions of US dollars),,-7711,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2010,Balance imports/exports (millions of US dollars),,-2491,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2015,Balance imports/exports (millions of US dollars),,-10527,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2020,Balance imports/exports (millions of US dollars),,12543,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2021,Balance imports/exports (millions of US dollars),,22394,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
18,Southern Africa,2022,Balance imports/exports (millions of US dollars),,8134,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,1995,Imports CIF (millions of US dollars),,19153,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2005,Imports CIF (millions of US dollars),,44948,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2010,Imports CIF (millions of US dollars),,83254,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2015,Imports CIF (millions of US dollars),,87237,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2020,Imports CIF (millions of US dollars),,113799,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2021,Imports CIF (millions of US dollars),,122820,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2022,Imports CIF (millions of US dollars),,136877,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,1995,Exports FOB (millions of US dollars),,21750,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2005,Exports FOB (millions of US dollars),,71221,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2010,Exports FOB (millions of US dollars),,113448,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2015,Exports FOB (millions of US dollars),,89100,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2020,Exports FOB (millions of US dollars),,90777,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2021,Exports FOB (millions of US dollars),,112949,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2022,Exports FOB (millions of US dollars),,118413,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,1995,Balance imports/exports (millions of US dollars),,2597,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2005,Balance imports/exports (millions of US dollars),,26273,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2010,Balance imports/exports (millions of US dollars),,30194,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2015,Balance imports/exports (millions of US dollars),,1863,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2020,Balance imports/exports (millions of US dollars),,-23022,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2021,Balance imports/exports (millions of US dollars),,-9870,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
11,Western Africa,2022,Balance imports/exports (millions of US dollars),,-18464,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
19,Americas,1995,Imports CIF (millions of US dollars),,1178848,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
19,Americas,2005,Imports CIF (millions of US dollars),,2557150,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
19,Americas,2010,Imports CIF (millions of US dollars),,3230657,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
19,Americas,2015,Imports CIF (millions of US dollars),,3739612,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
