Area code,Area,Year,Series,Tourism arrivals series type,Value,Source
660,Anguilla,2020,Tourist/visitor arrivals (thousands),TF,25,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
660,Anguilla,2021,Tourist/visitor arrivals (thousands),TF,28,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
660,Anguilla,1995,Tourism expenditure (millions of US dollars),,50,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
660,Anguilla,2005,Tourism expenditure (millions of US dollars),,86,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
660,Anguilla,2010,Tourism expenditure (millions of US dollars),,99,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
660,Anguilla,2019,Tourism expenditure (millions of US dollars),,168,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
660,Anguilla,2020,Tourism expenditure (millions of US dollars),,47,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
660,Anguilla,2021,Tourism expenditure (millions of US dollars),,62,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,1995,Tourist/visitor arrivals (thousands),TF,220,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,2005,Tourist/visitor arrivals (thousands),TF,245,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,2010,Tourist/visitor arrivals (thousands),TF,230,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,2019,Tourist/visitor arrivals (thousands),TF,301,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,2020,Tourist/visitor arrivals (thousands),TF,125,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,2021,Tourist/visitor arrivals (thousands),TF,169,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,1995,Tourism expenditure (millions of US dollars),,247,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,2005,Tourism expenditure (millions of US dollars),,309,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,2010,Tourism expenditure (millions of US dollars),,298,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,2019,Tourism expenditure (millions of US dollars),,904,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,2020,Tourism expenditure (millions of US dollars),,412,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
28,Antigua and Barbuda,2021,Tourism expenditure (millions of US dollars),,546,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
