Area code,Area,Year,Series,Value,Source
15,Northern Africa,2010,Net official development assistance received: Total (millions of US dollars),2667.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2015,Net official development assistance received: Total (millions of US dollars),5072.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2019,Net official development assistance received: Total (millions of US dollars),4013.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2020,Net official development assistance received: Total (millions of US dollars),5272.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2021,Net official development assistance received: Total (millions of US dollars),10994.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,1985,Net official development assistance received: Total (as % GNI),2.6,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,1995,Net official development assistance received: Total (as % GNI),1.9,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2005,Net official development assistance received: Total (as % GNI),0.8,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2010,Net official development assistance received: Total (as % GNI),0.5,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2015,Net official development assistance received: Total (as % GNI),0.8,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2019,Net official development assistance received: Total (as % GNI),0.6,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2020,Net official development assistance received: Total (as % GNI),0.8,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
15,Northern Africa,2021,Net official development assistance received: Total (as % GNI),1.4,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,1985,Net official development assistance received: Bilateral  (millions of US dollars),159.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,1995,Net official development assistance received: Bilateral  (millions of US dollars),730.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2005,Net official development assistance received: Bilateral  (millions of US dollars),513.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2010,Net official development assistance received: Bilateral  (millions of US dollars),1216.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
